구분,문항번호,정답,배점
공통,1,5,2
공통,2,4,2
공통,3,1,3
공통,4,3,3
공통,5,5,3
공통,6,2,3
공통,7,4,3
공통,8,4,3
공통,9,3,4
공통,10,4,4
공통,11,1,4
공통,12,2,4
공통,13,3,4
공통,14,1,4
공통,15,5,4
공통,16,10,3
공통,17,15,3
공통,18,22,3
공통,19,7,3
공통,20,17,4
공통,21,33,4
공통,22,13,4
확률과 통계,23,3,2
확률과 통계,24,2,3
확률과 통계,25,5,3
확률과 통계,26,3,3
확률과 통계,27,2,3
확률과 통계,28,4,4
확률과 통계,29,49,4
확률과 통계,30,100,4
미적분,23,4,2
미적분,24,3,3
미적분,25,5,3
미적분,26,4,3
미적분,27,2,3
미적분,28,2,4
미적분,29,26,4
미적분,30,31,4
확률과 통계,23,5,2
확률과 통계,24,3,3
확률과 통계,25,4,3
확률과 통계,26,2,3
확률과 통계,27,1,3
확률과 통계,28,2,4
확률과 통계,29,12,4
확률과 통계,30,24,4
