학교명,설립형태,시도명,주소,설립일,lon,lat
가야대,사립,경상남도,경상남도 김해시 삼계로 208,1993-03-13,128.872320984264,35.2698162801243
가천대,사립,경기도,경기도 성남시 수정구 성남대로 1342,2012-03-01,127.12939432624,37.4512348695085
가톨릭관동대,사립,강원도,강원도 강릉시 범일로579번길 24,1955-04-26,128.873681611316,37.7373221158143
가톨릭꽃동네대,사립,충청북도,충청북도 청주시 서원구 현도면 상삼길 133,1998-11-30,127.402976065397,36.5219802800517
가톨릭대,사립,경기도,경기도 부천시 원미구 지봉로 43,1995-03-01,126.798601525148,37.4875313665666
감리교신학대,사립,서울특별시,서울특별시 서대문구 독립문로 56,1887-09-29,126.961892367623,37.5679167646618
강남대,사립,경기도,경기도 용인시 기흥구 강남로 40,1948-08-12,127.132099903261,37.2741253924992
강릉원주대,국립,강원도,강원도 강릉시 죽헌길 7,1979-03-01,128.870004836608,37.7656949331429
강서대,사립,서울특별시,서울특별시 강서구 까치산로24길 47,1958-04-19,126.854156524867,37.5486853052598
강원대,국립,강원도,강원도 춘천시 강원대학길 1,1970-03-01,127.748387408095,37.8680243076332
건국대,사립,서울특별시,서울특별시 광진구 능동로 120,1931-05-15,127.074711902268,37.539182674872
건양대,사립,충청남도,충청남도 논산시 대학로 121,1990-11-28,127.109687408926,36.1821519220811
건양사이버대,사립,대전광역시,대전광역시 서구 관저동로 158,2012-03-01,127.342646778061,36.3077818180786
경기대,사립,경기도,경기도 수원시 영통구 광교산로 154-42,1947-11-08,127.033116715137,37.2980136931725
경남과학기술대,국립,경상남도,경상남도 진주시 동진로 33,1910-04-30,128.092080852163,35.1792658758639
경남대,사립,경상남도,경상남도 창원시 마산합포구 경남대학로 7,1946-12-27,128.555096373971,35.184320928305
경동대,사립,강원도,강원도 고성군 토성면 봉포4길 46,1997-03-01,128.556542452695,38.251533909007
경북대,국립,대구광역시,대구광역시 북구 대학로 80,1946-05-28,128.614322336303,35.8890974884948
경상국립대,국립,경상남도,경상남도 진주시 진주대로 501,1948-08-14,128.098001405271,35.1567141271262
경성대,사립,부산광역시,부산광역시 남구 수영로 309,1963-01-28,129.10010311307,35.1384873078988
경운대,사립,경상북도,경상북도 구미시 산동면 강동로 730,2012-03-01,128.468071167161,36.1716993571929
경운대,사립,경상북도,경상북도 구미시 산동면 강동로 730,1997-03-01,128.468071167161,36.1716993571929
경인교육대,국립,인천광역시,인천광역시 계양구 계산로 62,1962-02-17,126.718842140379,37.5367048882494
경일대,사립,경상북도,경상북도 경산시 하양읍 가마실길 50,1996-12-11,128.802045214398,35.9110687720431
경주대,사립,경상북도,경상북도 경주시 태종로 188,1987-12-12,129.163239444101,35.8292658457446
경희대,사립,서울특별시,서울특별시 동대문구 경희대로 26,1951-05-18,127.054890960564,37.5939491407769
경희사이버대,사립,서울특별시,서울특별시 동대문구 경희대로 26,2001-03-03,127.054890960564,37.5939491407769
계명대,사립,대구광역시,대구광역시 달서구 달구벌대로 1095,1954-05-20,128.484579003028,35.8559055953885
고려대,사립,서울특별시,서울특별시 성북구 안암로 145,1905-05-05,127.031698331241,37.5887034223667
