"등급","과목","구분점수","도수(명)","비율(%)","","","","","","","",""
"1","국어 A형","128","13866","4.3","","","","","","","",""
"2","국어 A형","123","23599","7.32","","","","","","","",""
"3","국어 A형","116","42470","13.17","","","","","","","",""
"4","국어 A형","108","52640","16.32","","","","","","","",""
"5","국어 A형","97","63896","19.81","","","","","","","",""
"6","국어 A형","85","52538","16.29","","","","","","","",""
"7","국어 A형","72","38209","11.85","","","","","","","",""
"8","국어 A형","60","22717","7.04","","","","","","","",""
"9","국어 A형","60","12554","3.89","","","","","","","",""
"1","국어 B형","127","12615","4.45","","","","","","","",""
"2","국어 B형","122","22133","7.8","","","","","","","",""
"3","국어 B형","117","31802","11.21","","","","","","","",""
"4","국어 B형","109","49446","17.44","","","","","","","",""
"5","국어 B형","98","56368","19.88","","","","","","","",""
"6","국어 B형","86","46373","16.35","","","","","","","",""
"7","국어 B형","72","34037","12","","","","","","","",""
"8","국어 B형","59","19943","7.03","","","","","","","",""
"9","국어 B형","59","10868","3.83","","","","","","","",""
"1","수학 A형","137","19675","4.77","","","","","","","",""
"2","수학 A형","130","25778","6.25","","","","","","","",""
"3","수학 A형","120","49513","12","","","","","","","",""
"4","수학 A형","103","73223","17.74","","","","","","","",""
"5","수학 A형","89","85219","20.65","","","","","","","",""
"6","수학 A형","82","70677","17.12","","","","","","","",""
"7","수학 A형","77","50910","12.33","","","","","","","",""
"8","수학 A형","75","22601","5.48","","","","","","","",""
"9","수학 A형","75","15144","3.67","","","","","","","",""
"1","수학 B형","132","8093","5.05","","","","","","","",""
"2","수학 B형","125","12533","7.82","","","","","","","",""
"3","수학 B형","117","18333","11.45","","","","","","","",""
"4","수학 B형","107","28003","17.48","","","","","","","",""
"5","수학 B형","95","29822","18.62","","","","","","","",""
"6","수학 B형","81","27178","16.97","","","","","","","",""
"7","수학 B형","72","20335","12.7","","","","","","","",""
"8","수학 B형","67","10442","6.52","","","","","","","",""
"9","수학 B형","67","5435","3.39","","","","","","","",""
"1","영어 A형","129","8825","4.91","","","","","","","",""
"2","영어 A형","124","15867","8.83","","","","","","","",""
"3","영어 A형","118","17554","9.76","","","","","","","",""
"4","영어 A형","108","33318","18.53","","","","","","","",""
"5","영어 A형","95","34466","19.17","","","","","","","",""
"6","영어 A형","83","29069","16.17","","","","","","","",""
"7","영어 A형","72","21308","11.85","","","","","","","",""
"8","영어 A형","64","12601","7.01","","","","","","","",""
"9","영어 A형","64","6758","3.76","","","","","","","",""
"1","영어 B형","129","17075","4.1","","","","","","","",""
"2","영어 B형","124","29421","7.06","","","","","","","",""
"3","영어 B형","117","54075","12.98","","","","","","","",""
"4","영어 B형","108","74363","17.85","","","","","","","",""
"5","영어 B형","97","76150","18.27","","","","","","","",""
"6","영어 B형","85","70776","16.98","","","","","","","",""
"7","영어 B형","72","50731","12.17","","","","","","","",""
"8","영어 B형","61","28059","6.73","","","","","","","",""
"9","영어 B형","61","16062","3.85","","","","","","","",""
"1","생활과 윤리","65","12252","8.94","","","","","","","",""
"2","생활과 윤리","62","9538","6.96","","","","","","","",""
"3","생활과 윤리","59","10749","7.84","","","","","","","",""
"4","생활과 윤리","54","23145","16.89","","","","","","","",""
"5","생활과 윤리","47","33355","24.34","","","","","","","",""
"6","생활과 윤리","42","17853","13.03","","","","","","","",""
"7","생활과 윤리","37","15883","11.59","","","","","","","",""
"8","생활과 윤리","32","8812","6.43","","","","","","","",""
"9","생활과 윤리","32","5467","3.99","","","","","","","",""
"1","윤리와 사상","66","3885","5.46","","","","","","","",""
"2","윤리와 사상","64","4412","6.2","","","","","","","",""
"3","윤리와 사상","59","10835","15.24","","","","","","","",""
"4","윤리와 사상","53","11964","16.82","","","","","","","",""
"5","윤리와 사상","46","12835","18.05","","","","","","","",""
