"등급","과목","구분 점수","인원(명)","비율(%)","","","","","","","",""
"1","국어 A형","129","11462","4.05","","","","","","","",""
"2","국어 A형","124","22253","7.86","","","","","","","",""
"3","국어 A형","118","33558","11.85","","","","","","","",""
"4","국어 A형","109","47378","16.73","","","","","","","",""
"5","국어 A형","97","56084","19.8","","","","","","","",""
"6","국어 A형","84","49380","17.43","","","","","","","",""
"7","국어 A형","72","33475","11.82","","","","","","","",""
"8","국어 A형","62","19505","6.89","","","","","","","",""
"9","국어 A형","62","10134","3.58","","","","","","","",""
"1","국어 B형","130","13592","4.37","","","","","","","",""
"2","국어 B형","124","24116","7.76","","","","","","","",""
"3","국어 B형","116","38684","12.44","","","","","","","",""
"4","국어 B형","108","49233","15.84","","","","","","","",""
"5","국어 B형","97","63028","20.27","","","","","","","",""
"6","국어 B형","85","52434","16.86","","","","","","","",""
"7","국어 B형","72","36097","11.61","","","","","","","",""
"8","국어 B형","61","21562","6.94","","","","","","","",""
"9","국어 B형","61","12159","3.91","","","","","","","",""
"1","수학 A형","129","28534","7.06","","","","","","","",""
"2","수학 A형","126","28572","7.07","","","","","","","",""
"3","수학 A형","120","51527","12.75","","","","","","","",""
"4","수학 A형","109","53075","13.13","","","","","","","",""
"5","수학 A형","90","83228","20.6","","","","","","","",""
"6","수학 A형","80","66251","16.4","","","","","","","",""
"7","수학 A형","75","50435","12.48","","","","","","","",""
"8","수학 A형","72","27110","6.71","","","","","","","",""
"9","수학 A형","72","15351","3.8","","","","","","","",""
"1","수학 B형","125","6630","4.3","","","","","","","",""
"2","수학 B형","122","12883","8.35","","","","","","","",""
"3","수학 B형","117","16573","10.74","","","","","","","",""
"4","수학 B형","110","30486","19.76","","","","","","","",""
"5","수학 B형","99","28037","18.17","","","","","","","",""
"6","수학 B형","85","24937","16.16","","","","","","","",""
"7","수학 B형","68","17957","11.64","","","","","","","",""
"8","수학 B형","60","10800","7","","","","","","","",""
"9","수학 B형","60","5994","3.88","","","","","","","",""
"1","영어","130","26070","4.49","","","","","","","",""
"2","영어","125","41044","7.07","","","","","","","",""
"3","영어","116","72783","12.54","","","","","","","",""
"4","영어","107","101977","17.56","","","","","","","",""
"5","영어","97","111287","19.17","","","","","","","",""
"6","영어","85","99702","17.17","","","","","","","",""
"7","영어","71","67775","11.67","","","","","","","",""
"8","영어","61","38099","6.56","","","","","","","",""
"9","영어","61","21901","3.77","","","","","","","",""
"1","생활과 윤리","64","10388","6.2","","","","","","","",""
"2","생활과 윤리","61","17196","10.26","","","","","","","",""
"3","생활과 윤리","59","12588","7.51","","","","","","","",""
"4","생활과 윤리","55","28277","16.88","","","","","","","",""
"5","생활과 윤리","49","32844","19.61","","","","","","","",""
"6","생활과 윤리","42","28309","16.9","","","","","","","",""
"7","생활과 윤리","36","20855","12.45","","","","","","","",""
"8","생활과 윤리","31","10852","6.48","","","","","","","",""
"9","생활과 윤리","31","6215","3.71","","","","","","","",""
"1","윤리와 사상","65","3233","5.67","","","","","","","",""
"2","윤리와 사상","63","4179","7.33","","","","","","","",""
"3","윤리와 사상","60","6099","10.7","","","","","","","",""
"4","윤리와 사상","55","9751","17.1","","","","","","","",""
"5","윤리와 사상","46","11545","20.25","","","","","","","",""
"6","윤리와 사상","41","9484","16.63","","","","","","","",""
"7","윤리와 사상","37","7574","13.28","","","","","","","",""
"8","윤리와 사상","34","2982","5.23","","","","","","","",""
"9","윤리와 사상","34","2178","3.82","","","","","","","",""
"1","한국사","65","2369","6.12","","","","","","","",""
"2","한국사","63","2949","7.62","","","","","","","",""
"3","한국사","60","4855","12.54","","","","","","","",""
"4","한국사","54","5687","14.69","","","","","","","",""
"5","한국사","45","7684","19.85","","","","","","","",""
"6","한국사","41","6378","16.48","","","","","","","",""
"7","한국사","38","4633","11.97","","","","","","","",""
"8","한국사","36","2693","6.96","","","","","","","",""
"9","한국사","36","1457","3.76","","","","","","","",""
"1","한국 지리","64","7278","7.34","","","","","","","",""
"2","한국 지리","62","4809","4.85","","","","","","","",""
"3","한국 지리","59","12684","12.79","","","","","","","",""
"4","한국 지리","55","15368","15.5","","","","","","","",""
"5","한국 지리","47","23016","23.22","","","","","","","",""
"6","한국 지리","41","14427","14.55","","","","","","","",""
"7","한국 지리","36","11867","11.97","","","","","","","",""
"8","한국 지리","32","7485","7.55","","","","","","","",""
"9","한국 지리","32","2203","2.22","","","","","","","",""
"1","세계 지리","65","1843","4.66","","","","","","","",""
"2","세계 지리","63","2645","6.68","","","","","","","",""
"3","세계 지리","59","5159","13.03","","","","","","","",""
"4","세계 지리","55","6194","15.65","","","","","","","",""
"5","세계 지리","47","8531","21.55","","","","","","","",""
"6","세계 지리","41","6690","16.9","","","","","","","",""
"7","세계 지리","36","4460","11.27","","","","","","","",""
"8","세계 지리","33","2592","6.55","","","","","","","",""
"9","세계 지리","33","1466","3.7","","","","","","","",""
