등급,과목,구분 점수,인원(명),비율(%)
1,국어,130,"22,126",4.01
2,국어,124,"39,483",7.16
3,국어,117,"66,654",12.09
4,국어,108,"93,060",16.89
5,국어,98,"110,927",20.13
6,국어,85,"96,939",17.59
7,국어,73,"61,956",11.24
8,국어,60,"39,039",7.08
9,국어,60미만,"20,924",3.8
1,수학 가형,124,"12,448",6.95
2,수학 가형,121,"14,538",8.12
3,수학 가형,117,"17,551",9.8
4,수학 가형,111,"32,260",18.01
5,수학 가형,101,"30,990",17.3
6,수학 가형,83,"30,186",16.85
7,수학 가형,68,"22,065",12.32
8,수학 가형,60,"14,229",7.94
9,수학 가형,60미만,"4,880",2.72
1,수학 나형,131,"16,381",4.74
2,수학 나형,124,"37,048",10.72
3,수학 나형,118,"34,810",10.08
4,수학 나형,108,"51,793",14.99
5,수학 나형,94,"70,311",20.35
6,수학 나형,80,"58,788",17.02
7,수학 나형,73,"38,857",11.25
8,수학 나형,69,"24,341",7.05
9,수학 나형,69미만,"13,119",3.8
1,영어,133,"24,244",4.42
2,영어,125,"37,638",6.87
3,영어,115,"67,451",12.31
4,영어,106,"98,753",18.02
5,영어,97,"102,358",18.68
6,영어,86,"93,627",17.09
7,영어,74,"65,629",11.98
8,영어,61,"36,677",6.69
9,영어,61미만,"21,615",3.94
1,생활과 윤리,63,"16,932",10.06
2,생활과 윤리,61,"8,370",4.97
3,생활과 윤리,58,"20,547",12.21
4,생활과 윤리,55,"22,901",13.61
5,생활과 윤리,49,"37,023",22
6,생활과 윤리,42,"27,449",16.31
7,생활과 윤리,35,"18,751",11.14
8,생활과 윤리,30,"10,932",6.5
9,생활과 윤리,30미만,"5,348",3.18
1,윤리와 사상,64,"3,038",8.13
2,윤리와 사상,63,"1,439",3.85
3,윤리와 사상,60,"5,754",15.39
4,윤리와 사상,54,"5,744",15.37
5,윤리와 사상,46,"7,167",19.17
6,윤리와 사상,40,"7,460",19.96
7,윤리와 사상,37,"3,085",8.25
8,윤리와 사상,34,"2,892",7.74
9,윤리와 사상,34미만,801,2.14
1,한국 지리,64,"8,029",9.73
2,한국 지리,63,"1,745",2.11
3,한국 지리,60,"9,861",11.95
4,한국 지리,54,"16,028",19.42
5,한국 지리,47,"13,895",16.84
6,한국 지리,41,"15,416",18.68
7,한국 지리,37,"8,716",10.56
8,한국 지리,34,"5,565",6.74
9,한국 지리,34미만,"3,277",3.97
1,세계 지리,65,"2,439",5.74
2,세계 지리,63,"2,413",5.68
