"등급","과목","구분 점수","인원(명)","비율(%)","","",""
"1","국어","128","25965","4.9","","",""
"2","국어","123","37502","7.07","","",""
"3","국어","117","67317","12.7","","",""
"4","국어","109","81565","15.39","","",""
"5","국어","98","106011","20","","",""
"6","국어","84","91940","17.34","","",""
"7","국어","71","64815","12.23","","",""
"8","국어","61","34708","6.55","","",""
"9","국어","61","20270","3.82","","",""
"1","수학 가형","123","8879","5.13","","",""
"2","수학 가형","120","18982","10.96","","",""
"3","수학 가형","116","21538","12.44","","",""
"4","수학 가형","111","19945","11.52","","",""
"5","수학 가형","102","34878","20.14","","",""
"6","수학 가형","86","29746","17.18","","",""
"7","수학 가형","66","21135","12.21","","",""
"8","수학 가형","58","11629","6.72","","",""
"9","수학 가형","58","6423","3.71","","",""
"1","수학 나형","129","25788","7.68","","",""
"2","수학 나형","126","22725","6.76","","",""
"3","수학 나형","121","35279","10.5","","",""
"4","수학 나형","108","52653","15.67","","",""
"5","수학 나형","91","69299","20.63","","",""
"6","수학 나형","80","56413","16.79","","",""
"7","수학 나형","75","37539","11.17","","",""
"8","수학 나형","70","30679","9.13","","",""
"9","수학 나형","70","5608","1.67","","",""
"1","생활과 윤리","63","10764","6.66","","",""
"2","생활과 윤리","61","16422","10.16","","",""
"3","생활과 윤리","59","14600","9.03","","",""
"4","생활과 윤리","55","29542","18.27","","",""
"5","생활과 윤리","48","31973","19.78","","",""
"6","생활과 윤리","42","21309","13.18","","",""
"7","생활과 윤리","35","20169","12.48","","",""
"8","생활과 윤리","31","12580","7.78","","",""
"9","생활과 윤리","31","4294","2.66","","",""
"1","윤리와 사상","64","2560","7.97","","",""
"2","윤리와 사상","62","3801","11.83","","",""
"3","윤리와 사상","60","2902","9.03","","",""
"4","윤리와 사상","55","4353","13.55","","",""
"5","윤리와 사상","45","6159","19.17","","",""
"6","윤리와 사상","40","5743","17.87","","",""
"7","윤리와 사상","37","3928","12.22","","",""
"8","윤리와 사상","35","1795","5.59","","",""
"9","윤리와 사상","35","893","2.78","","",""
"1","한국 지리","67","3205","4.49","","",""
"2","한국 지리","64","4728","6.63","","",""
"3","한국 지리","59","9965","13.97","","",""
"4","한국 지리","53","13033","18.27","","",""
