등급,과목,구분 점수,인원(명),비율(%)
1,국어,131,"23,282 ",4.82
2,국어,125,"35,257 ",7.30
3,국어,117,"59,438 ",12.30
4,국어,107,"80,221 ",16.61
5,국어,95,"95,752 ",19.82
6,국어,83,"83,182 ",17.22
7,국어,72,"56,941 ",11.79
8,국어,64,"32,537 ",6.74
9,국어,64미만,"16,458 ",3.41
1,수학 가형,128,"8,666 ",5.63 
2,수학 가형,122,"10,940 ",7.11 
3,수학 가형,118,"17,605 ",11.44 
4,수학 가형,110,"24,903 ",16.18 
5,수학 가형,97,"32,292 ",20.99 
6,수학 가형,82,"25,175 ",16.36 
7,수학 가형,70,"18,349 ",11.93 
8,수학 가형,63,"10,775 ",7.00 
9,수학 가형,63미만,"5,164 ",3.36 
1,수학 나형,135,"15,700 ",5.02 
2,수학 나형,128,"20,465 ",6.55 
3,수학 나형,118,"36,409 ",11.64 
4,수학 나형,106,"55,283 ",17.68 
5,수학 나형,92,"62,680 ",20.05 
6,수학 나형,81,"53,085 ",16.98 
7,수학 나형,75,"37,155 ",11.88 
8,수학 나형,71,"21,165 ",6.77 
9,수학 나형,71미만,"10,720 ",3.43 
1,생활과 윤리,64,"10,491 ",7.14 
2,생활과 윤리,62,"5,834 ",3.97 
3,생활과 윤리,59,"21,484 ",14.63 
4,생활과 윤리,55,"21,691 ",14.77 
5,생활과 윤리,48,"33,203 ",22.61 
6,생활과 윤리,42,"20,694 ",14.09 
7,생활과 윤리,35,"18,897 ",12.87 
8,생활과 윤리,31,"11,694 ",7.96 
9,생활과 윤리,31미만,"2,844 ",1.94 
1,윤리와 사상,62,"4,745 ",14.88 
2,윤리와 사상,ㅡ,ㅡ,ㅡ
3,윤리와 사상,60,"3,818 ",11.97 
4,윤리와 사상,56,"4,453 ",13.96 
5,윤리와 사상,46,"7,066 ",22.15 
6,윤리와 사상,40,"4,851 ",15.21 
7,윤리와 사상,36,"4,362 ",13.68 
8,윤리와 사상,34,"1,808 ",5.67 
9,윤리와 사상,34미만,794 ,2.49 
1,한국 지리,66,"3,758 ",5.97 
2,한국 지리,64,"4,049 ",6.43 
3,한국 지리,60,"7,618 ",12.10 
4,한국 지리,53,"10,700 ",16.99 
5,한국 지리,45,"13,466 ",21.39 
6,한국 지리,40,"11,983 ",19.03 
7,한국 지리,38,"5,824 ",9.25 
8,한국 지리,35,"4,238 ",6.73 
9,한국 지리,35미만,"1,327 ",2.11 
1,세계 지리,64,"3,489 ",8.55 
2,세계 지리,62,"2,122 ",5.20 
3,세계 지리,60,"4,288 ",10.51 
4,세계 지리,54,"8,088 ",19.82 
5,세계 지리,46,"7,984 ",19.56 
6,세계 지리,41,"5,660 ",13.87 
7,세계 지리,36,"6,111 ",14.97 
8,세계 지리,33,"1,636 ",4.01 
9,세계 지리,33미만,"1,431 ",3.51 
1,동아시아사,67,"1,192 ",4.39
2,동아시아사,63,"2,714 ",9.99
3,동아시아사,59,"3,611 ",13.29
4,동아시아사,53,"4,302 ",15.83
5,동아시아사,46,"4,608 ",16.96
6,동아시아사,41,"5,134 ",18.89
7,동아시아사,38,"2,720 ",10.01
8,동아시아사,35,"1,893 ",6.97
9,동아시아사,35미만,998 ,3.67
1,세계사,63,"2,426 ",12.23 
2,세계사,ㅡ,ㅡ,ㅡ
3,세계사,60,"2,733 ",13.78 
4,세계사,55,"3,171 ",15.98 
5,세계사,45,"3,877 ",19.54 
6,세계사,40,"3,675 ",18.52 
7,세계사,37,"2,338 ",11.78 
8,세계사,35,950 ,4.79 
