등급,과목,구분 점수,인원(명),비율(퍼센트)
1,국어,131,17914,4.01
2,국어,124,32561,7.29
3,국어,116,59289,13.28
4,국어,108,69678,15.6
5,국어,97,90848,20.34
6,국어,84,77836,17.43
7,국어,72,49811,11.15
8,국어,62,33398,7.48
9,국어,62미만,15245,3.41
1,수학,137,18031,4.2
2,수학,127,31917,7.43
3,수학,117,49185,11.44
4,수학,106,72891,16.96
5,수학,92,88933,20.69
6,수학,81,72301,16.82
7,수학,75,51502,11.98
8,수학,71,31602,7.35
9,수학,71미만,13437,3.13
1,생활과 윤리,64,13769,10.07
2,생활과 윤리,62,2890,2.11
3,생활과 윤리,60,15011,10.97
4,생활과 윤리,54,25111,18.36
5,생활과 윤리,47,28031,20.49
6,생활과 윤리,41,23707,17.33
7,생활과 윤리,36,15000,10.97
8,생활과 윤리,33,8275,6.05
9,생활과 윤리,33미만,4999,3.65
1,윤리와 사상,66,1434,4.57
2,윤리와 사상,64,2406,7.66
3,윤리와 사상,60,4578,14.58
4,윤리와 사상,55,4270,13.6
5,윤리와 사상,45,6527,20.79
6,윤리와 사상,40,6977,22.22
7,윤리와 사상,37,3001,9.56
8,윤리와 사상,35,1435,4.57
9,윤리와 사상,35미만,771,2.46
1,한국지리,65,1790,4.27
2,한국지리,63,3145,7.51
3,한국지리,60,6448,15.39
4,한국지리,54,6507,15.53
5,한국지리,46,8030,19.17
6,한국지리,40,7945,18.96
7,한국지리,37,4190,10
8,한국지리,34,3065,7.32
9,한국지리,34미만,773,1.85
1,세계지리,66,1615,5.17
2,세계지리,64,2032,6.51
3,세계지리,61,3563,11.41
4,세계지리,54,5604,17.95
5,세계지리,45,6193,19.84
6,세계지리,41,5181,16.59
7,세계지리,37,4797,15.36
8,세계지리,35,1614,5.17
9,세계지리,35미만,622,1.99
1,동아시아사,66,1231,5.34
2,동아시아사,64,1709,7.41
3,동아시아사,60,2522,10.94
4,동아시아사,54,3868,16.78
5,동아시아사,46,4648,20.16
6,동아시아사,41,4085,17.72
7,동아시아사,37,3133,13.59
8,동아시아사,35,1016,4.41
9,동아시아사,35미만,841,3.65
1,세계사,66,1100,6.27
2,세계사,64,1222,6.96
3,세계사,61,1740,9.91
4,세계사,53,3360,19.14
5,세계사,45,3247,18.5
6,세계사,40,3927,22.37
7,세계사,38,1513,8.62
8,세계사,36,958,5.46
9,세계사,36미만,485,2.76
1,경제,66,305,5.55
2,경제,64,357,6.5
3,경제,60,641,11.67
4,경제,53,1049,19.09
5,경제,46,1071,19.49
6,경제,41,887,16.14
7,경제,38,593,10.79
8,경제,35,418,7.61
9,경제,35미만,174,3.17
1,정치와 법,63,1797,6.91
2,정치와 법,62,1789,6.88
3,정치와 법,60,3299,12.69
4,정치와 법,56,3711,14.27
5,정치와 법,47,5042,19.39
6,정치와 법,39,5766,22.17
7,정치와 법,36,2017,7.76
8,정치와 법,33,1976,7.6
