"학교명",학교 영문명,본분교구분명,대학구분명,학교구분명,설립형태구분명,시도코드,시도명,소재지도로명주소,소재지지번주소,도로명우편번호,소재지우편번호,홈페이지주소,대표전화번호,대표팩스번호,설립일자,기준연도,데이터기준일자
"가야대학교(고령)",Kaya University,제2캠퍼스,대학,대학교,사립,47,경상북도,"경상북도 고령군 대가야읍 대가야로 1103 (지산리, 가야대학교)",,40139,,WWW.KAYA.AC.KR,055-330-1000,055-331-0983,1993-03-13,2022,2022-12-21
"가야대학교(김해)",Kaya University,본교,대학,대학교,사립,48,경상남도,경상남도 김해시 삼계로 208 (삼계동),,50830,,WWW.KAYA.AC.KR,055-330-1000,055-330-1093,1993-03-13,2022,2022-12-21
"가천대학교",Gachon University,본교,대학,대학교,사립,41,경기도,"경기도 성남시 수정구 성남대로 1342 (복정동, 가천대학교)",,13120,,www.gachon.ac.kr,031-750-5114,031-753-8828,2012-03-01,2022,2022-12-21
"가톨릭관동대학교",Catholic Kwandong University,본교,대학,대학교,사립,42,강원도,"강원도 강릉시 범일로579번길 24 (내곡동, 가톨릭관동대학교)",,25601,,www.cku.ac.kr,033-649-7114,033-649-7874,1955-04-26,2022,2022-12-21
"가톨릭꽃동네대학교",Catholic Kkottongnae University,본교,대학,대학교,사립,43,충청북도,"충청북도 청주시 서원구 현도면 상삼길 133 (상삼리, 꽃동네대학교)",,28211,,www.kkot.ac.kr,043-270-0109,043-270-0120,1998-11-30,2022,2022-12-21
"가톨릭대학교",The Catholic University Of Korea,본교,대학,대학교,사립,41,경기도,경기도 부천시 원미구 지봉로 43,,14662,,www.catholic.ac.kr,02-2164-4114,02-2164-4754,1995-03-01,2022,2022-12-21
"가톨릭대학교",The Catholic University Of Korea,제2캠퍼스,대학,대학교,사립,11,서울특별시,"서울특별시 서초구 반포대로 222 (반포동, 가톨릭대학교성의교정)",,06591,,www.catholic.ac.kr,02-2258-7114,02-533-4362,1995-03-01,2022,2022-12-21
"가톨릭대학교",The Catholic University Of Korea,제3캠퍼스,대학,대학교,사립,11,서울특별시,"서울특별시 종로구 창경궁로 296-12 (혜화동, 가톨릭대학교성신교정)",,03083,,www.catholic.ac.kr,02-740-9705,02-741-2801,1995-03-01,2022,2022-12-21
"감리교신학대학교",Methodist Theological University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 서대문구 독립문로 56 (냉천동, 감리교신학대학)",,03745,,www.mtu.ac.kr,02-361-9257,02-361-9006,1887-09-29,2022,2022-12-21
"강남대학교",Kangnam University,본교,대학,대학교,사립,41,경기도,"경기도 용인시 기흥구 강남로 40 (구갈동, 강남대학교)",,16979,,www.kangnam.ac.kr,031-280-3500,031-280-3173,1948-08-12,2022,2022-12-21
"강릉원주대학교",Gangneung Wonju National University,본교,대학,대학교,국립,42,강원도,"강원도 강릉시 죽헌길 7 (지변동, 강릉원주대학교)",,25457,,www.gwnu.ac.kr,033-642-7001,033-643-7110,1979-03-01,2022,2022-12-21
"강릉원주대학교",Gangneung Wonju National University,제2캠퍼스,대학,대학교,국립,42,강원도,"강원도 원주시 흥업면 남원로 150 (흥업리, 강릉원주대학교원주캠퍼스)",,26403,,www.gwnu.ac.kr,033-760-8020,033-760-8029,2007-03-01,2022,2022-12-21
"강서대학교",GANGSEO UNIVERSITY,본교,대학,대학교,사립,11,서울특별시,"서울특별시 강서구 까치산로24길 47 (화곡동, 케이씨대학교)",,07661,,gangseo.ac.kr,02-2600-2400,02-2698-8876,1958-04-19,2022,2022-12-21
"강원대학교",Kangwon National University,본교,대학,대학교,국립,42,강원도,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",,24341,,www.kangwon.ac.kr/,033-250-6114,033-251-9556,1970-03-01,2022,2022-12-21
"강원대학교",Kangwon National University,제2캠퍼스,대학,대학교,국립,42,강원도,"강원도 삼척시 중앙로 346 (교동, 강원대학교삼척캠퍼스)",,25913,,www.kangwon.ac.kr/,033-570-6114,033-572-8620,2006-03-01,2022,2022-12-21
"건국대학교",Konkuk University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 광진구 능동로 120 (화양동, 건국대학교)",,05029,,www.konkuk.ac.kr,02-450-3114,02-450-3179,1931-05-15,2022,2022-12-21
"건국대학교(글로컬)",Konkuk University,분교,대학,대학교,사립,43,충청북도,"충청북도 충주시 충원대로 268 (단월동, 건국대학교 글로컬캠퍼스)",,27478,,www.kku.ac.kr,043-840-3114,043-851-9356,1980-01-05,2022,2022-12-21
"건양대학교",Konyang University,본교,대학,대학교,사립,44,충청남도,"충청남도 논산시 대학로 121 (내동, 건양대학교)",,32992,,www.konyang.ac.kr,041-730-5114,041-733-2070,1990-11-28,2022,2022-12-21
"건양대학교",Konyang University,제2캠퍼스,대학,대학교,사립,30,대전광역시,"대전광역시 서구 관저동로 158 (관저동, 건양대학교병원)",,35365,,www.konyang.ac.kr,041-730-5114,041-733-2070,1990-11-28,2022,2022-12-21
"건양사이버대학교",Konyang Cyber University,본교,대학,사이버대학(대학),사립,30,대전광역시,"대전광역시 서구 관저동로 158 (관저동, 건양대학교병원)",,35365,,www.kycu.ac.kr,1899-3330,042-722-0023,2012-03-01,2022,2022-12-21
"경기대학교",Kyonggi University,본교,대학,대학교,사립,41,경기도,"경기도 수원시 영통구 광교산로 154-42 (이의동, 경기대학교)",,16227,,www.kyonggi.ac.kr,031-249-9114,031-243-2194,1947-11-08,2022,2022-12-21
"경기대학교",Kyonggi University,제2캠퍼스,대학,대학교,사립,11,서울특별시,"서울특별시 서대문구 경기대로9길 24 (충정로2가, 경기대학교)",,03746,,www.kyonggi.ac.kr,031-249-8711,031-249-8718,1947-11-08,2022,2022-12-21
"경남과학기술대학교",Gyeongnam National University Of Science And Technology,본교,대학,대학교,국립,48,경상남도,"경상남도 진주시 동진로 33 (칠암동, 경남과학기술대학교)",,52725,,www.gntech.ac.kr,055-751-3114,055-752-9554,1910-04-30,2022,2022-12-21
"경남대학교",Kyungnam University,본교,대학,대학교,사립,48,경상남도,"경상남도 창원시 마산합포구 경남대학로 7 (월영동, 경남대학교)",,51767,,www.kyungnam.ac.kr,055-245-5000,055-246-6184,1946-12-27,2022,2022-12-21
"경동대학교",Kyungdong University,본교,대학,대학교,사립,42,강원도,"강원도 고성군 토성면 봉포4길 46 (봉포리, 경동대학교)",,24764,,www.kduniv.ac.kr,033-631-2000,033-631-9542,1997-03-01,2022,2022-12-21
"경동대학교",Kyungdong University,제2캠퍼스,대학,대학교,사립,42,강원도,"강원도 속초시 도리원길 5 (노학동, 동우대학)",,24865,,www.kduniv.ac.kr,033-632-6551,033-639-0518,2013-03-01,2022,2022-12-21
"경동대학교",Kyungdong University,제3캠퍼스,대학,대학교,사립,42,강원도,"강원도 원주시 문막읍 견훤로 815 (후용리, 경동대학교)",,26495,,www.kduniv.ac.kr,033-738-1200,033-738-1209,2013-03-01,2022,2022-12-21
"경동대학교",Kyungdong University,제4캠퍼스,대학,대학교,사립,41,경기도,경기도 양주시 경동대학로 27 (고암동),,11458,,www.kduniv.ac.kr,031-869-9900,031-869-9909,2014-03-01,2022,2022-12-21
"경북대학교",Kyungpook National University,본교,대학,대학교,국립,27,대구광역시,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",,41566,,www.knu.ac.kr,053-950-5114,053-950-2149,1946-05-28,2022,2022-12-21
"경상국립대학교",Gyeongsang National University,본교,대학,대학교,국립,48,경상남도,"경상남도 진주시 진주대로 501 (가좌동, 경상대학교)",,52828,,www.gnu.ac.kr,055-772-1114,055-772-0359,1948-08-14,2022,2022-12-21
"경성대학교",Kyungsung University,본교,대학,대학교,사립,26,부산광역시,"부산광역시 남구 수영로 309 (대연동, 경성대학교)",,48434,,ks.ac.kr,051-663-4114,051-663-4089,1963-01-28,2022,2022-12-21
"경운대학교",Kyungwoon University,본교,대학,대학교,사립,47,경상북도,"경상북도 구미시 산동면 강동로 730 (인덕리, 경운대학교)",,39160,,www.ikw.ac.kr,054-479-1114,054-479-1209,2012-03-01,2022,2022-12-21
"경운대학교(산업대)",Kyungwoon University,본교,대학,산업대학,사립,47,경상북도,"경상북도 구미시 산동면 강동로 730 (인덕리, 경운대학교)",,39160,,www.ikw.ac.kr,054-479-1114,054-479-1209,1997-03-01,2022,2022-12-21
"경인교육대학교",Gyeongin National University Of Education,본교,대학,교육대학,국립,28,인천광역시,"인천광역시 계양구 계산로 62 (계산동, 경인교육대학교)",,21044,,www.ginue.ac.kr,032-540-1114,032-541-0580,1962-02-17,2022,2022-12-21
