연도,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,합계
1980,37,9,0,0,0,0,0,0,5,5,3,5,5,4,7,4,1,85
1981,36,9,0,0,0,0,0,0,6,5,3,8,5,4,8,4,1,89
1982,36,10,5,2,0,0,0,0,8,5,3,8,5,6,4,4,1,97
1983,36,10,5,2,0,0,0,0,8,5,3,9,5,6,4,4,1,98
1984,36,10,5,2,0,0,0,0,9,5,3,9,5,6,4,4,1,99
1985,36,10,5,2,0,0,0,0,9,5,4,9,5,6,4,4,1,100
1986,36,10,5,2,0,0,0,0,9,5,4,9,5,6,4,4,1,100
1987,36,10,4,2,4,0,0,0,9,5,4,9,5,4,6,4,1,103
1988,34,9,4,2,4,0,0,0,11,5,4,9,5,4,7,5,1,104
1989,34,10,4,2,4,6,0,0,11,5,4,3,5,4,7,4,1,104
1990,34,10,4,2,5,6,0,0,13,5,4,3,5,4,7,4,1,107
1991,34,11,3,2,5,6,0,0,16,5,5,5,6,4,8,4,1,115
1992,34,11,4,2,5,6,0,0,19,5,5,7,6,4,7,5,1,121
1993,35,11,3,2,5,6,0,0,19,5,5,10,6,5,9,5,1,127
1994,35,11,3,2,5,6,0,0,19,5,6,10,6,6,11,5,1,131
1995,35,11,2,2,5,6,0,0,18,5,6,10,7,6,12,5,1,131
1996,35,11,2,3,5,6,0,0,18,5,6,11,7,6,13,5,1,134
1997,39,11,2,3,7,7,0,0,20,7,6,11,7,8,16,5,1,150
1998,39,11,3,4,6,7,1,0,23,7,7,11,7,9,15,4,2,156
1999,40,11,3,4,8,7,1,0,22,7,8,11,7,8,15,4,2,158
2000,39,11,2,4,7,7,1,0,23,8,8,11,8,10,16,4,2,161
2001,39,11,2,4,7,7,1,0,23,8,8,11,8,10,16,5,2,162
2002,38,11,2,4,7,8,1,0,24,8,8,11,8,10,16,5,2,163
2003,38,11,2,4,7,8,1,0,24,8,8,13,9,10,18,6,2,169
2004,38,11,2,4,8,8,1,0,25,8,8,13,9,10,18,6,2,171
2005,38,11,3,4,8,8,1,0,26,8,8,13,9,10,18,6,2,173
2006,38,12,3,4,8,8,1,0,26,8,8,13,9,9,19,7,2,175
2007,38,12,3,4,8,8,1,0,26,8,8,13,9,9,19,7,2,175
2008,37,12,3,4,8,8,1,0,27,8,8,13,9,9,18,7,2,174
2009,37,12,3,4,8,9,2,0,27,8,9,13,9,9,18,7,2,177
2010,37,12,3,4,8,9,2,0,27,8,10,13,9,9,19,7,2,179
2011,37,12,3,4,9,10,2,0,27,8,10,13,9,10,19,8,2,183
2012,38,12,3,3,10,11,2,0,29,8,10,14,9,10,20,8,2,189
2013,38,12,3,3,10,11,2,1,29,8,10,12,9,10,19,9,2,188
2014,38,12,3,3,10,11,2,1,29,8,10,13,9,10,18,10,2,189
2015,38,12,3,3,10,11,2,1,29,8,10,13,9,10,18,10,2,189
2016,38,12,3,3,10,11,2,1,29,8,10,13,9,10,18,10,2,189
2017,38,12,3,3,10,11,2,1,29,8,10,13,9,10,18,10,2,189
2018,38,12,3,3,10,11,2,2,30,8,11,13,8,10,18,10,2,191
2019,38,12,3,3,10,11,2,2,30,8,11,13,8,10,18,10,2,191
2020,38,12,3,3,10,11,2,2,30,8,11,13,8,10,18,10,2,191
2021,38,12,3,3,10,11,2,2,30,8,11,13,8,10,18,9,2,190
2022,38,12,3,3,10,11,2,2,30,8,11,13,8,10,18,9,2,190
