연도,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,합계
1980,172155,34771,0,0,0,0,0,0,23829,15040,15202,22977,24565,26540,47175,17316,3409,402979
1981,211205,46899,0,0,0,0,0,0,36322,21152,20867,34113,34707,34751,66799,24361,4700,535876
1982,250643,61415,51043,23366,0,0,0,0,29523,23797,26044,44837,42279,43401,27871,30860,6046,661125
1983,282166,70577,59602,26556,0,0,0,0,39374,28332,31373,55063,49351,51531,35066,36742,7174,772907
1984,309021,80564,67098,28977,0,0,0,0,48439,32486,35657,63669,54504,58713,40797,42148,8097,870170
1985,308763,90123,72255,30531,0,0,0,0,65895,35760,39134,68407,58380,63419,44420,46131,8666,931884
1986,312779,94777,74465,31514,0,0,0,0,73079,37621,41829,73847,60880,65605,47204,48598,8929,971127
1987,311852,97420,66758,31858,55420,0,0,0,76135,39260,43892,77124,62589,10867,57297,49975,9056,989503
1988,292796,96426,66452,32007,54810,0,0,0,98107,40491,44635,80171,63105,12747,59066,53615,9220,1003648
1989,287859,100737,66211,31987,54268,49975,0,0,106657,42454,45419,33575,63999,14707,61035,52481,9407,1020771
1990,288642,102449,65584,31728,54430,51347,0,0,111094,44863,46086,36112,65174,16798,61927,54270,9662,1040166
1991,284521,103097,48566,30868,54416,52687,0,0,115127,47039,46817,39720,66655,18487,79099,55334,9707,1052140
1992,285530,99020,48060,30398,53907,53902,0,0,121250,49020,47516,44108,68216,19631,79283,60540,9788,1070169
1993,289965,99453,47339,29676,53794,54949,0,0,128286,50687,48118,49020,69376,20941,79973,60978,9909,1092464
1994,299102,102253,47548,29662,54861,56925,0,0,135381,52744,50137,54717,71571,23082,81788,62400,10266,1132437
1995,310723,106851,48395,29854,55530,59753,0,0,144594,55092,53057,62442,75128,26005,84876,64728,10707,1187735
1996,327977,113339,49786,31003,57592,63253,0,0,155558,57545,57204,72824,80203,30138,91250,68048,11156,1266876
1997,345481,135924,51307,31346,59741,67027,0,0,167511,60406,61742,84062,85552,34661,100830,71157,11714,1368461
1998,381331,143897,53165,32608,62216,71578,16609,0,172288,65200,66810,97558,89600,39248,113520,59366,12721,1477715
1999,408911,152125,56741,34562,65874,76006,17573,0,187373,69093,70448,110119,93857,42669,126579,62088,13649,1587667
2000,422594,158799,57442,34834,68074,79833,18187,0,195700,74737,74325,120124,97909,45851,137558,64631,14800,1665398
2001,432787,164039,59432,35736,70078,82860,18482,0,201152,79869,76996,131130,100947,48888,145298,66220,15724,1729638
2002,438986,169004,57990,36204,70595,83567,18796,0,203334,83121,79838,141466,100929,50669,153837,67257,16145,1771738
2003,445169,173664,58387,36617,71177,86188,18775,0,207704,85648,80880,150625,99468,51170,157421,69121,16525,1808539
2004,453265,176804,59478,37415,73330,86764,18885,0,208064,86784,81663,158120,98139,51306,158973,70974,16685,1836649
2005,446599,179114,60591,38829,75414,86448,19164,0,222770,86849,82968,162857,97463,51123,160323,72403,16724,1859639
2006,451481,184810,62473,40364,77219,87968,19542,0,226027,88560,85060,167422,95327,49736,158955,77002,16490,1888436
2007,454639,190344,63117,41394,79861,88389,19637,0,230077,92237,86338,172465,95348,50236,159463,79494,16465,1919504
2008,440846,196441,64033,42910,81218,88924,20031,0,250395,95734,87220,174586,94823,48740,159512,81534,16490,1943437
2009,447982,204627,63507,45278,82334,91426,21003,0,257231,102635,88048,177515,95941,48239,161969,79965,16343,1984043
2010,468509,209389,63726,46728,83602,95252,22022,0,251804,105840,91703,181119,97777,47936,165975,80923,16536,2028841
2011,471648,211926,63203,50392,84268,104426,22705,0,254550,108142,95496,181951,98732,48406,169945,82863,16798,2065451
2012,494016,213882,63279,48520,85459,109416,23495,0,244715,109700,99256,186231,99888,49464,175172,84243,17222,2103958
2013,495395,213594,69015,49247,86712,111612,23895,20291,248092,111384,103110,165761,97300,50464,170603,86232,17589,2120296
2014,504569,213240,68000,47608,88274,113583,23923,10699,241635,112040,104954,178098,96454,50478,170723,88088,17680,2130046
2015,500178,208811,67079,46379,87415,115724,23852,19707,242426,109341,105577,167172,94571,49941,169540,87657,17923,2113293
2016,498944,203419,65812,45283,86280,114956,23194,19249,241723,106774,104706,162965,92180,50112,164760,86495,17955,2084807
2017,499021,198348,64336,43768,84814,112638,22305,18712,241244,103770,102420,159783,89230,48619,159290,84580,17741,2050619
2018,502807,194927,63316,44183,84187,113709,21519,18260,239442,100605,100042,157312,87245,47920,154544,82469,17546,2030033
2019,505743,190526,62200,43779,82653,111699,20932,17945,237428,98656,97160,154271,85582,46780,149853,79942,16494,2001643
2020,507319,186383,61667,43435,82338,108791,20509,17852,235519,96459,96156,152343,85214,45515,147688,78102,15713,1981003
2021,504661,180585,60566,42805,79973,105347,19924,17504,234107,92973,93136,149156,83015,43706,141641,74202,14953,1938254
2022,496926,173226,59051,42084,78184,103985,19349,17101,231683,89386,90606,146219,79230,41869,136335,69177,14288,1888699
