연도,국립,공립,사립,합계
1980,112502,2184,288293,402979
1981,143370,2994,389512,535876
1982,175107,3732,482286,661125
1983,202462,4280,566165,772907
1984,226443,4713,639014,870170
1985,238343,5035,688506,931884
1986,241611,5165,724351,971127
1987,240355,5191,743957,989503
1988,240130,5353,758165,1003648
1989,241341,5527,773903,1020771
1990,249026,5722,785418,1040166
1991,251182,5891,795067,1052140
1992,255060,6109,809000,1070169
1993,260508,6424,825532,1092464
1994,270119,15296,847022,1132437
1995,280183,15758,891794,1187735
1996,291771,16542,958563,1266876
1997,317212,17216,1034033,1368461
1998,329652,18399,1129664,1477715
1999,341901,19514,1226252,1587667
2000,352733,19345,1293320,1665398
2001,361678,20115,1347845,1729638
2002,366900,20399,1384439,1771738
2003,372605,20565,1415369,1808539
2004,376413,20939,1439297,1836649
2005,379254,21414,1458971,1859639
2006,383267,21989,1483180,1888436
2007,386149,22312,1511043,1919504
2008,388767,22908,1531762,1943437
2009,397244,23700,1563099,1984043
2010,402955,25218,1600668,2028841
2011,412923,29023,1623505,2065451
2012,427232,31939,1644787,2103958
2013,458081,13287,1648928,2120296
2014,467416,13454,1649176,2130046
2015,471465,13331,1628497,2113293
2016,467761,12974,1604072,2084807
2017,461952,12775,1575892,2050619
2018,458987,12710,1558336,2030033
2019,449316,12621,1539706,2001643
2020,442114,12492,1526397,1981003
2021,430323,12331,1495600,1938254
2022,419861,12035,1456803,1888699
