연도,국립,공립,사립,합계
1980,4507,71,9880,14458
1981,5157,77,12247,17481
1982,6224,96,13817,20137
1983,6937,110,15426,22473
1984,7636,118,16652,24406
1985,8070,134,17843,26047
1986,8511,144,18925,27580
1987,8932,150,19560,28642
1988,9311,153,20421,29885
1989,9797,160,21718,31675
1990,10212,161,22967,33340
1991,10737,167,24271,35175
1992,11087,170,26030,37287
1993,11607,179,27725,39511
1994,11949,391,29236,41576
1995,12253,444,32390,45087
1996,12659,480,35443,48582
1997,13286,507,39507,53300
1998,13220,552,42484,56256
1999,10849,475,29902,41226
2000,10887,472,30584,41943
2001,10981,467,31861,43309
2002,11144,488,32545,44177
2003,11414,510,33348,45272
2004,11974,529,34502,47005
2005,12471,537,36192,49200
2006,12839,546,38474,51859
2007,12964,546,39253,52763
2008,13135,568,40628,54331
2009,12691,610,41217,54518
2010,12964,782,42226,55972
2011,13709,780,43615,58104
2012,14635,706,46652,61993
2013,15079,339,47624,63042
2014,15225,354,48799,64378
2015,15299,354,49770,65423
2016,15268,370,49662,65300
2017,15865,374,50556,66795
2018,16262,379,50222,66863
2019,16350,369,49190,65909
2020,16647,378,49029,66054
2021,16890,388,50195,67473
2022,17021,390,49319,66730
